Y,X,id,obstimeJST,type
36.065,138.918,nowc_20240807070000_20240807070000_liden_212,2024/08/07 15:59:06.520,0
35.015,138.033,nowc_20240807070000_20240807070000_liden_213,2024/08/07 15:59:07.240,0
36.494,139.629,nowc_20240807070000_20240807070000_liden_214,2024/08/07 15:59:10.730,1
35.843,138.672,nowc_20240807070000_20240807070000_liden_215,2024/08/07 15:59:11.070,0
40.338,140.699,nowc_20240807070000_20240807070000_liden_216,2024/08/07 15:59:13.570,0
36.643,139.724,nowc_20240807070000_20240807070000_liden_217,2024/08/07 15:59:14.450,0
36.647,139.912,nowc_20240807070000_20240807070000_liden_218,2024/08/07 15:59:14.870,0
36.652,139.745,nowc_20240807070000_20240807070000_liden_219,2024/08/07 15:59:14.880,0
36.484,139.588,nowc_20240807070000_20240807070000_liden_220,2024/08/07 15:59:15.230,0
36.492,139.628,nowc_20240807070000_20240807070000_liden_221,2024/08/07 15:59:15.750,0
36.744,139.802,nowc_20240807070000_20240807070000_liden_222,2024/08/07 15:59:19.390,0
40.14,140.817,nowc_20240807070000_20240807070000_liden_223,2024/08/07 15:59:19.460,0
35.656,138.652,nowc_20240807070000_20240807070000_liden_224,2024/08/07 15:59:22.400,1
36.536,139.667,nowc_20240807070000_20240807070000_liden_225,2024/08/07 15:59:22.780,0
35.706,138.603,nowc_20240807070000_20240807070000_liden_226,2024/08/07 15:59:23.220,0
36.491,139.627,nowc_20240807070000_20240807070000_liden_227,2024/08/07 15:59:24.210,1
36.692,139.637,nowc_20240807070000_20240807070000_liden_228,2024/08/07 15:59:25.700,0
36.665,139.726,nowc_20240807070000_20240807070000_liden_229,2024/08/07 15:59:25.700,1
38.094,140.466,nowc_20240807070000_20240807070000_liden_230,2024/08/07 15:59:25.840,1
38.025,140.401,nowc_20240807070000_20240807070000_liden_231,2024/08/07 15:59:25.840,0
36.723,139.731,nowc_20240807070000_20240807070000_liden_232,2024/08/07 15:59:26.100,0
34.175,132.067,nowc_20240807070000_20240807070000_liden_233,2024/08/07 15:59:27.750,0
36.741,139.458,nowc_20240807070000_20240807070000_liden_234,2024/08/07 15:59:28.410,0
35.711,138.601,nowc_20240807070000_20240807070000_liden_235,2024/08/07 15:59:33.040,0
35.966,138.829,nowc_20240807070000_20240807070000_liden_236,2024/08/07 15:59:33.570,0
36.009,138.903,nowc_20240807070000_20240807070000_liden_237,2024/08/07 15:59:33.730,0
36.493,139.616,nowc_20240807070000_20240807070000_liden_238,2024/08/07 15:59:33.750,0
